x,y,yaw
298361.648,4137578.271,2.480111
298361.489,4137578.395,2.480111
298361.330,4137578.519,2.480111
298361.171,4137578.642,2.480111
298361.012,4137578.766,2.480111
298360.853,4137578.890,2.480111
298360.694,4137579.013,2.480111
298360.535,4137579.137,2.480111
298360.376,4137579.261,2.480111
298360.218,4137579.384,2.480111
298360.059,4137579.508,2.480111
298359.900,4137579.632,2.480111
298359.741,4137579.755,2.480111
298359.582,4137579.879,2.480111
298359.423,4137580.003,2.480111
298359.264,4137580.127,2.480111
298359.105,4137580.250,2.480111
298358.947,4137580.374,2.480111
298358.788,4137580.498,2.480111
298358.629,4137580.621,2.480111
298358.470,4137580.745,2.480111
298358.311,4137580.869,2.480111
298358.152,4137580.992,2.480111
298357.993,4137581.116,2.480111
298357.834,4137581.240,2.480111
298357.675,4137581.363,2.480111
298357.517,4137581.487,2.480111
298357.358,4137581.611,2.480111
298357.199,4137581.734,2.480111
298357.040,4137581.858,2.480111
298356.881,4137581.982,2.480111
298356.722,4137582.106,2.480111
298356.563,4137582.229,2.480111
298356.404,4137582.353,2.480111
298356.246,4137582.477,2.480111
298356.087,4137582.600,2.480111
298355.928,4137582.724,2.480111
298355.769,4137582.848,2.480111
298355.610,4137582.971,2.480111
298355.451,4137583.095,2.480111
298355.292,4137583.219,2.480111
298355.133,4137583.342,2.480111
298354.974,4137583.466,2.480111
298354.816,4137583.590,2.480111
298354.657,4137583.713,2.480111
298354.498,4137583.837,2.480111
298354.339,4137583.961,2.480111
298354.180,4137584.085,2.480111
298354.021,4137584.208,2.480111
298353.862,4137584.332,2.480111
298353.703,4137584.456,2.480111
298353.545,4137584.579,2.480111
298353.386,4137584.703,2.480111
298353.227,4137584.827,2.480111
298353.068,4137584.950,2.480111
298352.909,4137585.074,2.384937
298352.767,4137585.213,2.352540
298352.628,4137585.356,2.339832
298352.489,4137585.498,2.346753
298352.348,4137585.639,2.373271
298352.202,4137585.775,2.402578
298352.054,4137585.908,2.421815
298351.904,4137586.038,2.431004
298351.753,4137586.168,2.430178
298351.602,4137586.298,2.419392
298351.454,4137586.431,2.412955
298351.305,4137586.563,2.421736
298351.154,4137586.693,2.434382
298351.002,4137586.822,2.445318
298350.849,4137586.949,2.454541
298350.694,4137587.074,2.462051
298350.539,4137587.199,2.467852
298350.383,4137587.323,2.471946
298350.227,4137587.446,2.474334
298350.070,4137587.569,2.475019
298349.914,4137587.692,2.473999
298349.758,4137587.816,2.471290
298349.602,4137587.940,2.470469
298349.446,4137588.063,2.471746
298349.290,4137588.187,2.472742
298349.133,4137588.310,2.473457
298348.977,4137588.434,2.473892
298348.821,4137588.557,2.474047
298348.664,4137588.680,2.474043
298348.508,4137588.803,2.474048
298348.352,4137588.927,2.474061
298348.195,4137589.050,2.474084
298348.039,4137589.173,2.474116
298347.883,4137589.296,2.474157
298347.726,4137589.420,2.474207
298347.570,4137589.543,2.474266
298347.413,4137589.666,2.474335
298347.257,4137589.789,2.474412
298347.101,4137589.912,2.474499
298346.944,4137590.036,2.474595
298346.788,4137590.159,2.474700
298346.631,4137590.282,2.474814
298346.475,4137590.405,2.474938
298346.318,4137590.528,2.475034
298346.162,4137590.651,2.475050
298346.006,4137590.774,2.474987
298345.849,4137590.897,2.474844
298345.693,4137591.021,2.474622
298345.536,4137591.144,2.474320
298345.380,4137591.267,2.473938
298345.224,4137591.390,2.473477
298345.067,4137591.514,2.472936
298344.911,4137591.637,2.472315
298344.755,4137591.761,2.471615
298344.599,4137591.884,2.470924
298344.443,4137592.008,2.470308
298344.287,4137592.132,2.469767
298344.131,4137592.256,2.469302
298343.976,4137592.380,2.468913
298343.820,4137592.504,2.468599
298343.664,4137592.628,2.468360
298343.509,4137592.752,2.468197
298343.353,4137592.877,2.468109
298343.197,4137593.001,2.468097
298343.042,4137593.125,2.468160
298342.886,4137593.249,2.468298
298342.730,4137593.373,2.468512
298342.575,4137593.497,2.468802
298342.419,4137593.621,2.469167
298342.263,4137593.745,2.469566
298342.107,4137593.869,2.469963
298341.952,4137593.993,2.470357
298341.796,4137594.117,2.470747
298341.640,4137594.241,2.471134
298341.484,4137594.364,2.471519
298341.328,4137594.488,2.471900
298341.171,4137594.612,2.472278
298341.015,4137594.735,2.472653
298340.859,4137594.858,2.473025
298340.703,4137594.982,2.473394
298340.547,4137595.105,2.473750
298340.390,4137595.228,2.474086
298340.234,4137595.352,2.474401
298340.077,4137595.475,2.474696
298339.921,4137595.598,2.474970
298339.764,4137595.721,2.475223
298339.608,4137595.844,2.475457
298339.451,4137595.967,2.475669
298339.295,4137596.090,2.475862
298339.138,4137596.213,2.476033
298338.982,4137596.336,2.476185
298338.825,4137596.459,2.476316
298338.668,4137596.582,2.476426
298338.512,4137596.705,2.476516
298338.355,4137596.827,2.476585
298338.198,4137596.950,2.476634
298338.042,4137597.073,2.476663
298337.885,4137597.196,2.476671
