x,y,yaw
298434.853,4137755.037,2.473519
298434.695,4137755.161,2.473519
298434.538,4137755.286,2.473519
298434.380,4137755.410,2.473519
298434.222,4137755.535,2.473519
298434.064,4137755.659,2.473519
298433.907,4137755.784,2.473519
298433.749,4137755.908,2.473519
298433.591,4137756.033,2.473519
298433.433,4137756.157,2.473519
298433.276,4137756.282,2.473519
298433.118,4137756.406,2.473519
298432.960,4137756.531,2.473519
298432.802,4137756.655,2.473519
298432.645,4137756.780,2.473519
298432.487,4137756.904,2.473519
298432.329,4137757.029,2.473519
298432.171,4137757.153,2.473519
298432.014,4137757.278,2.473519
298431.856,4137757.402,2.473519
298431.698,4137757.526,2.473519
298431.540,4137757.651,2.473519
298431.383,4137757.775,2.473519
298431.225,4137757.900,2.473519
298431.067,4137758.024,2.473519
298430.909,4137758.149,2.473519
298430.752,4137758.273,2.473519
298430.594,4137758.398,2.473519
298430.436,4137758.522,2.473519
298430.278,4137758.647,2.473519
298430.121,4137758.771,2.473519
298429.963,4137758.896,2.473519
298429.805,4137759.020,2.473519
298429.647,4137759.145,2.473519
298429.490,4137759.269,2.473519
298429.332,4137759.394,2.473519
298429.174,4137759.518,2.473519
298429.016,4137759.643,2.473519
298428.859,4137759.767,2.473519
298428.701,4137759.892,2.473519
298428.543,4137760.016,2.473519
298428.385,4137760.141,2.473519
298428.228,4137760.265,2.473519
298428.070,4137760.390,2.473519
298427.912,4137760.514,2.473519
298427.754,4137760.639,2.473519
298427.597,4137760.763,2.473519
298427.439,4137760.888,2.473519
298427.281,4137761.012,2.473519
298427.123,4137761.137,2.473519
298426.966,4137761.261,2.473519
298426.808,4137761.386,2.473519
298426.650,4137761.510,2.473375
298426.492,4137761.635,2.473433
298426.335,4137761.759,2.473691
298426.177,4137761.884,2.474123
298426.019,4137762.008,2.474683
298425.862,4137762.132,2.475302
298425.704,4137762.256,2.475895
298425.546,4137762.379,2.476356
298425.389,4137762.503,2.476568
298425.231,4137762.627,2.476848
298425.074,4137762.750,2.477093
298424.916,4137762.874,2.477303
298424.758,4137762.997,2.477479
298424.600,4137763.121,2.477620
