x,y,yaw
298506.070,4137845.516,-2.239149
298505.946,4137845.360,-2.239005
298505.822,4137845.203,-2.238826
298505.698,4137845.046,-2.238610
298505.574,4137844.889,-2.238356
298505.450,4137844.732,-2.238073
298505.327,4137844.575,-2.237770
298505.203,4137844.418,-2.237461
298505.079,4137844.261,-2.237155
298504.956,4137844.103,-2.236864
298504.832,4137843.946,-2.236590
298504.709,4137843.789,-2.236332
298504.585,4137843.632,-2.236088
298504.462,4137843.474,-2.235859
298504.339,4137843.317,-2.235644
298504.215,4137843.160,-2.235443
298504.092,4137843.002,-2.235257
298503.969,4137842.845,-2.235085
298503.846,4137842.688,-2.234923
298503.722,4137842.530,-2.234773
298503.599,4137842.373,-2.234644
298503.476,4137842.215,-2.234550
298503.353,4137842.058,-2.234505
298503.230,4137841.900,-2.234526
298503.106,4137841.743,-2.234623
298502.983,4137841.585,-2.234802
298502.860,4137841.428,-2.235061
298502.737,4137841.271,-2.235396
298502.614,4137841.113,-2.235812
298502.490,4137840.956,-2.236316
298502.367,4137840.799,-2.236899
298502.243,4137840.642,-2.237533
298502.120,4137840.484,-2.238183
298501.996,4137840.327,-2.238808
298501.872,4137840.170,-2.239372
298501.748,4137840.014,-2.239852
298501.624,4137839.857,-2.240240
298501.500,4137839.700,-2.240545
298501.376,4137839.543,-2.240770
298501.252,4137839.387,-2.240914
298501.128,4137839.230,-2.240978
298501.003,4137839.073,-2.240960
298500.879,4137838.917,-2.240862
298500.755,4137838.760,-2.240680
298500.631,4137838.603,-2.240409
298500.507,4137838.446,-2.240057
298500.383,4137838.290,-2.239646
298500.259,4137838.133,-2.239205
298500.135,4137837.976,-2.238765
298500.011,4137837.819,-2.238353
298499.887,4137837.662,-2.237988
298499.764,4137837.505,-2.237675
298499.640,4137837.348,-2.237405
298499.516,4137837.191,-2.237178
298499.393,4137837.034,-2.236996
298499.269,4137836.876,-2.236859
298499.146,4137836.719,-2.236764
298499.022,4137836.562,-2.236702
298498.899,4137836.405,-2.236665
298498.775,4137836.248,-2.236641
298498.652,4137836.090,-2.236624
298498.528,4137835.933,-2.236607
298498.405,4137835.776,-2.236592
298498.281,4137835.619,-2.236580
298498.158,4137835.462,-2.236571
298498.034,4137835.304,-2.236565
298497.911,4137835.147,-2.236562
298497.787,4137834.990,-2.236562
298497.664,4137834.833,-2.236566
298497.540,4137834.675,-2.236572
298497.417,4137834.518,-2.236580
298497.294,4137834.361,-2.236592
298497.170,4137834.204,-2.236612
298497.047,4137834.047,-2.236642
298496.923,4137833.889,-2.236688
298496.800,4137833.732,-2.236752
298496.676,4137833.575,-2.236836
298496.553,4137833.418,-2.236941
298496.429,4137833.261,-2.237065
298496.305,4137833.103,-2.237208
298496.182,4137832.946,-2.237375
298496.058,4137832.789,-2.237563
298495.935,4137832.632,-2.237766
298495.811,4137832.475,-2.237969
298495.687,4137832.318,-2.238159
298495.564,4137832.161,-2.238320
298495.440,4137832.004,-2.238441
298495.316,4137831.847,-2.238520
298495.192,4137831.690,-2.238568
298495.068,4137831.533,-2.238594
298494.945,4137831.376,-2.238605
298494.821,4137831.219,-2.238608
298494.697,4137831.062,-2.238607
298494.573,4137830.905,-2.238601
298494.449,4137830.748,-2.238589
298494.326,4137830.591,-2.238571
298494.202,4137830.434,-2.238547
298494.078,4137830.277,-2.238517
298493.954,4137830.120,-2.238478
298493.830,4137829.963,-2.238432
298493.707,4137829.806,-2.238377
298493.583,4137829.649,-2.238313
298493.459,4137829.492,-2.238239
298493.335,4137829.335,-2.238155
298493.212,4137829.178,-2.238062
298493.088,4137829.021,-2.237959
298492.964,4137828.864,-2.237843
298492.841,4137828.707,-2.237718
298492.717,4137828.550,-2.237589
298492.593,4137828.393,-2.237466
298492.470,4137828.236,-2.237358
298492.346,4137828.079,-2.237275
298492.222,4137827.922,-2.237221
298492.099,4137827.764,-2.237200
298491.975,4137827.607,-2.237208
298491.852,4137827.450,-2.237246
298491.728,4137827.293,-2.237312
298491.605,4137827.136,-2.237408
298491.481,4137826.979,-2.237534
298491.357,4137826.822,-2.237688
298491.234,4137826.665,-2.237874
298491.110,4137826.507,-2.238096
298490.986,4137826.350,-2.238347
298490.862,4137826.193,-2.238610
298490.739,4137826.036,-2.238865
298490.615,4137825.880,-2.239088
298490.491,4137825.723,-2.239257
298490.367,4137825.566,-2.239359
298490.243,4137825.409,-2.239392
298490.119,4137825.252,-2.239359
298489.995,4137825.095,-2.239263
298489.871,4137824.938,-2.239099
298489.748,4137824.781,-2.238864
298489.624,4137824.624,-2.238569
298489.500,4137824.467,-2.238234
298489.376,4137824.310,-2.237882
298489.252,4137824.153,-2.237539
298489.129,4137823.996,-2.237226
298489.005,4137823.839,-2.236956
298488.882,4137823.682,-2.236727
298488.758,4137823.525,-2.236536
298488.635,4137823.367,-2.236381
298488.511,4137823.210,-2.236264
