x,y,yaw
298575.414,4137855.763,-2.244827
298575.290,4137855.607,-2.244918
298575.165,4137855.451,-2.244550
298575.040,4137855.294,-2.243723
298574.915,4137855.138,-2.242437
298574.791,4137854.981,-2.240693
298574.667,4137854.824,-2.238491
298574.544,4137854.667,-2.235831
298574.420,4137854.510,-2.232714
298574.298,4137854.352,-2.229142
298574.176,4137854.193,-2.225114
298574.054,4137854.034,-2.220633
298573.934,4137853.875,-2.215761
298573.814,4137853.715,-2.212106
298573.694,4137853.554,-2.210372
298573.575,4137853.394,-2.210558
298573.455,4137853.233,-2.212662
298573.335,4137853.073,-2.216689
298573.214,4137852.914,-2.222643
298573.093,4137852.756,-2.230531
298572.969,4137852.598,-2.240361
298572.844,4137852.442,-2.252137
298572.717,4137852.287,-2.265866
298572.588,4137852.135,-2.281544
298572.456,4137851.984,-2.299165
298572.322,4137851.836,-2.318709
298572.184,4137851.691,-2.339916
298572.043,4137851.549,-2.362328
298571.899,4137851.410,-2.385966
298571.752,4137851.275,-2.410859
298571.602,4137851.143,-2.437029
298571.447,4137851.016,-2.463917
298571.290,4137850.893,-2.490592
298571.129,4137850.774,-2.517065
298570.965,4137850.659,-2.543360
298570.799,4137850.548,-2.569482
298570.629,4137850.442,-2.594978
298570.457,4137850.340,-2.619646
298570.283,4137850.243,-2.643480
298570.106,4137850.149,-2.667280
298569.927,4137850.060,-2.692332
298569.745,4137849.976,-2.718692
298569.562,4137849.896,-2.746395
298569.376,4137849.822,-2.775469
298569.189,4137849.753,-2.803790
298568.999,4137849.689,-2.828598
298568.808,4137849.629,-2.849892
298568.616,4137849.574,-2.868370
298568.423,4137849.521,-2.886166
298568.229,4137849.473,-2.903438
298568.034,4137849.427,-2.920192
298567.839,4137849.385,-2.936434
298567.643,4137849.346,-2.952301
298567.446,4137849.310,-2.968543
298567.249,4137849.277,-2.985280
298567.051,4137849.247,-3.002506
298566.853,4137849.221,-3.020518
298566.654,4137849.199,-3.039864
298566.455,4137849.181,-3.060577
298566.255,4137849.167,-3.082677
298566.055,4137849.157,-3.106181
298565.855,4137849.153,-3.130198
298565.655,4137849.153,3.131859
298565.455,4137849.156,3.113947
298565.256,4137849.163,3.099111
298565.056,4137849.173,3.085294
298564.856,4137849.186,3.071781
298564.657,4137849.201,3.058572
298564.458,4137849.219,3.045664
298564.259,4137849.239,3.032973
298564.060,4137849.263,3.018009
