x,y,yaw
298416.766,4137769.256,-0.664117
298418.676,4137767.761,-0.664675
298421.033,4137765.914,-0.664579
298423.513,4137763.971,-0.664287
298425.748,4137762.221,-0.666132
298426.019,4137762.008,-0.664188
298428.105,4137760.375,-0.664412
298430.462,4137758.529,-0.664469
298432.820,4137756.682,-0.664412
298435.177,4137754.836,-0.664675
298437.534,4137752.989,-0.664206
298439.892,4137751.143,-0.664675
298442.249,4137749.296,-0.664412
298444.606,4137747.450,-0.664469
298446.964,4137745.603,-0.669670
298449.451,4137743.634,-0.669670
