x,y
298426.019,4137762.008
298425.748,4137762.221
298423.513,4137763.971
298421.033,4137765.914
298418.676,4137767.761
298416.766,4137769.256
298413.452,4137771.781
298413.175,4137771.973
298412.317,4137772.481
298412.081,4137772.621
298411.184,4137773.057
298410.987,4137773.154
298410.054,4137773.510
298409.894,4137773.572
298408.931,4137773.840
298408.801,4137773.876
298407.816,4137774.047
298407.709,4137774.066
298406.712,4137774.134
298406.618,4137774.141
298405.619,4137774.105
298405.528,4137774.102
298404.538,4137773.962
298404.438,4137773.948
298403.468,4137773.709
298403.349,4137773.680
298402.407,4137773.349
298402.261,4137773.297
298401.354,4137772.883
298401.173,4137772.800
298400.305,4137772.312
298400.086,4137772.189
298399.258,4137771.635
298399.000,4137771.463
298398.211,4137770.852
298397.914,4137770.623
298397.166,4137769.964
298396.829,4137769.668
298395.788,4137768.653
298394.713,4137767.275
298393.813,4137766.122
298391.964,4137763.774
298390.537,4137761.962
298388.697,4137759.606
298387.244,4137757.746
298385.392,4137755.384
298384.720,4137754.526
298382.871,4137752.165
298382.391,4137751.552
298380.626,4137749.344
