x,y,yaw
298416.766,4137769.256,-0.663765
298416.923,4137769.133,-0.663829
298417.081,4137769.010,-0.663892
298417.238,4137768.887,-0.663953
298417.395,4137768.764,-0.664012
298417.552,4137768.641,-0.664069
298417.710,4137768.518,-0.664124
298417.867,4137768.395,-0.664178
298418.024,4137768.272,-0.664229
298418.181,4137768.149,-0.664279
298418.338,4137768.025,-0.664327
298418.496,4137767.902,-0.664373
298418.653,4137767.779,-0.664417
298418.810,4137767.656,-0.664459
298418.967,4137767.533,-0.664499
298419.124,4137767.410,-0.664538
298419.281,4137767.287,-0.664575
298419.439,4137767.164,-0.664609
298419.596,4137767.040,-0.664642
298419.753,4137766.917,-0.664673
298419.910,4137766.794,-0.664703
298420.067,4137766.671,-0.664730
298420.224,4137766.548,-0.664755
298420.382,4137766.425,-0.664779
298420.539,4137766.301,-0.664801
298420.696,4137766.178,-0.664821
298420.853,4137766.055,-0.664839
298421.010,4137765.932,-0.664855
298421.167,4137765.809,-0.664866
298421.324,4137765.686,-0.664868
298421.482,4137765.562,-0.664861
298421.639,4137765.439,-0.664844
298421.796,4137765.316,-0.664817
298421.953,4137765.193,-0.664781
298422.110,4137765.070,-0.664735
298422.267,4137764.946,-0.664680
298422.425,4137764.823,-0.664615
298422.582,4137764.700,-0.664541
298422.739,4137764.577,-0.664457
298422.896,4137764.454,-0.664363
298423.053,4137764.331,-0.664260
298423.210,4137764.208,-0.664147
298423.368,4137764.085,-0.664025
298423.525,4137763.962,-0.663894
298423.682,4137763.839,-0.663781
298423.840,4137763.716,-0.663708
298423.997,4137763.593,-0.663675
298424.154,4137763.470,-0.663683
298424.311,4137763.347,-0.663730
298424.469,4137763.224,-0.663818
298424.626,4137763.101,-0.663945
298424.783,4137762.978,-0.664113
298424.940,4137762.854,-0.664321
298425.098,4137762.731,-0.664568
298425.255,4137762.608,-0.664856
298425.412,4137762.485,-0.665184
298425.569,4137762.362,-0.665552
298425.726,4137762.238,-0.665959
298425.883,4137762.115,-0.666198
298426.040,4137761.992,-0.665919
298426.197,4137761.868,-0.665472
298426.354,4137761.745,-0.665071
298426.511,4137761.622,-0.664717
298426.668,4137761.499,-0.664410
298426.826,4137761.376,-0.664149
298426.983,4137761.253,-0.663935
298427.140,4137761.130,-0.663768
298427.297,4137761.007,-0.663648
298427.455,4137760.884,-0.663574
298427.612,4137760.761,-0.663547
298427.769,4137760.638,-0.663567
298427.926,4137760.515,-0.663633
298428.084,4137760.392,-0.663747
298428.241,4137760.269,-0.663885
298428.398,4137760.146,-0.664013
298428.556,4137760.022,-0.664129
298428.713,4137759.899,-0.664234
298428.870,4137759.776,-0.664327
298429.027,4137759.653,-0.664409
298429.184,4137759.530,-0.664480
298429.342,4137759.407,-0.664539
298429.499,4137759.284,-0.664587
298429.656,4137759.161,-0.664624
298429.813,4137759.038,-0.664649
298429.970,4137758.914,-0.664663
298430.127,4137758.791,-0.664665
298430.285,4137758.668,-0.664657
298430.442,4137758.545,-0.664636
298430.599,4137758.422,-0.664610
298430.756,4137758.299,-0.664584
298430.913,4137758.175,-0.664559
298431.070,4137758.052,-0.664536
298431.228,4137757.929,-0.664513
298431.385,4137757.806,-0.664492
298431.542,4137757.683,-0.664471
298431.699,4137757.560,-0.664452
298431.856,4137757.437,-0.664434
298432.014,4137757.314,-0.664417
298432.171,4137757.190,-0.664401
298432.328,4137757.067,-0.664386
298432.485,4137756.944,-0.664372
298432.642,4137756.821,-0.664359
298432.799,4137756.698,-0.664348
298432.957,4137756.575,-0.664338
298433.114,4137756.452,-0.664333
298433.271,4137756.329,-0.664331
298433.428,4137756.206,-0.664333
298433.586,4137756.083,-0.664340
298433.743,4137755.959,-0.664350
298433.900,4137755.836,-0.664364
298434.057,4137755.713,-0.664382
298434.214,4137755.590,-0.664404
298434.372,4137755.467,-0.664431
298434.529,4137755.344,-0.664461
298434.686,4137755.221,-0.664495
298434.843,4137755.098,-0.664533
298435.000,4137754.974,-0.664575
298435.157,4137754.851,-0.664620
298435.315,4137754.728,-0.664665
298435.472,4137754.605,-0.664702
