x,y,yaw
298393.872,4137766.196,-2.240770
298393.748,4137766.039,-2.240194
298393.623,4137765.882,-2.239559
298393.499,4137765.725,-2.238993
298393.375,4137765.568,-2.238496
298393.251,4137765.410,-2.238069
298393.127,4137765.253,-2.237711
298393.003,4137765.096,-2.237422
298392.879,4137764.938,-2.237202
298392.756,4137764.781,-2.237051
298392.632,4137764.623,-2.236969
298392.508,4137764.466,-2.236957
298392.384,4137764.308,-2.237014
298392.260,4137764.151,-2.237139
298392.137,4137763.993,-2.237334
298392.013,4137763.836,-2.237598
298391.889,4137763.678,-2.237904
298391.765,4137763.521,-2.238144
298391.641,4137763.364,-2.238307
298391.517,4137763.206,-2.238392
298391.393,4137763.049,-2.238400
298391.269,4137762.892,-2.238330
298391.145,4137762.734,-2.238183
298391.021,4137762.577,-2.237959
298390.897,4137762.420,-2.237657
298390.773,4137762.262,-2.237278
298390.649,4137762.105,-2.236821
298390.525,4137761.947,-2.236288
298390.402,4137761.790,-2.235750
298390.278,4137761.632,-2.235258
298390.155,4137761.474,-2.234812
298390.031,4137761.316,-2.234413
298389.908,4137761.159,-2.234059
298389.785,4137761.001,-2.233752
298389.661,4137760.843,-2.233491
298389.538,4137760.685,-2.233276
298389.415,4137760.527,-2.233107
298389.292,4137760.369,-2.232984
298389.168,4137760.211,-2.232908
298389.045,4137760.053,-2.232877
298388.922,4137759.895,-2.232893
298388.799,4137759.737,-2.232954
298388.676,4137759.579,-2.233062
298388.553,4137759.421,-2.233191
298388.429,4137759.263,-2.233327
298388.306,4137759.105,-2.233473
298388.183,4137758.947,-2.233626
298388.060,4137758.789,-2.233788
298387.936,4137758.631,-2.233958
298387.813,4137758.473,-2.234137
298387.690,4137758.316,-2.234323
298387.566,4137758.158,-2.234518
298387.443,4137758.000,-2.234722
298387.319,4137757.842,-2.234933
298387.196,4137757.684,-2.235151
298387.072,4137757.527,-2.235349
298386.949,4137757.369,-2.235521
298386.825,4137757.211,-2.235667
298386.702,4137757.054,-2.235787
298386.578,4137756.896,-2.235882
298386.454,4137756.739,-2.235951
298386.331,4137756.581,-2.235994
298386.207,4137756.423,-2.236011
298386.083,4137756.266,-2.236002
298385.960,4137756.108,-2.235968
298385.836,4137755.950,-2.235907
298385.712,4137755.793,-2.235821
298385.589,4137755.635,-2.235709
298385.465,4137755.477,-2.235572
298385.342,4137755.320,-2.235413
298385.218,4137755.162,-2.235283
298385.095,4137755.004,-2.235192
298384.971,4137754.847,-2.235140
298384.848,4137754.689,-2.235127
298384.724,4137754.531,-2.235153
298384.601,4137754.373,-2.235196
298384.477,4137754.216,-2.235230
298384.354,4137754.058,-2.235255
298384.230,4137753.900,-2.235271
298384.106,4137753.743,-2.235278
298383.983,4137753.585,-2.235277
298383.859,4137753.427,-2.235266
298383.736,4137753.270,-2.235246
298383.612,4137753.112,-2.235218
298383.489,4137752.954,-2.235181
298383.365,4137752.796,-2.235134
298383.242,4137752.639,-2.235079
298383.118,4137752.481,-2.235015
298382.995,4137752.323,-2.234942
298382.871,4137752.165,-2.234860
298382.748,4137752.008,-2.234855
298382.624,4137751.850,-2.235015
298382.501,4137751.692,-2.235341
298382.377,4137751.535,-2.235831
298382.254,4137751.377,-2.236486
298382.130,4137751.219,-2.237306
298382.006,4137751.062,-2.238291
298381.882,4137750.905,-2.239440
298381.758,4137750.748,-2.240755
298381.633,4137750.591,-2.242234
298381.508,4137750.434,-2.243879
298381.383,4137750.277,-2.245688
298381.258,4137750.121,-2.247662
298381.132,4137749.965,-2.249800
298381.006,4137749.809,-2.252104
298380.880,4137749.654,-2.254572
298380.753,4137749.499,-2.257205
298380.626,4137749.344,-2.260002
