x,y,yaw,kappa,mode
-16.249,-21.518,-2.232847,-0.002053,0
-16.372,-21.676,-2.233328,-0.002762,0
-16.495,-21.833,-2.233951,-0.003473,0
-16.618,-21.991,-2.234716,-0.003982,0
-16.742,-22.148,-2.235545,-0.003905,0
-16.865,-22.306,-2.236279,-0.003415,0
-16.988,-22.463,-2.236910,-0.002909,0
-17.112,-22.620,-2.237441,-0.002392,0
-17.236,-22.778,-2.237869,-0.001886,0
-17.360,-22.935,-2.238197,-0.001384,0
-17.483,-23.092,-2.238422,-0.000874,0
-17.607,-23.249,-2.238546,-0.000367,0
-17.731,-23.406,-2.238569,0.000140,0
-17.855,-23.563,-2.238490,0.000650,0
-17.979,-23.720,-2.238309,0.001157,0
-18.103,-23.877,-2.238027,0.001665,0
-18.226,-24.034,-2.237644,0.002175,0
-18.350,-24.191,-2.237158,0.002674,0
-18.474,-24.349,-2.236572,0.001337,0
-18.597,-24.506,-2.236623,-0.002228,0
-18.721,-24.663,-2.237462,-0.003930,0
-18.844,-24.820,-2.238193,-0.003392,0
-18.968,-24.977,-2.238817,-0.002847,0
-19.092,-25.134,-2.239332,-0.002307,0
-19.216,-25.291,-2.239740,-0.001769,0
-19.340,-25.448,-2.240040,-0.001232,0
-19.464,-25.605,-2.240233,-0.000692,0
-19.588,-25.762,-2.240317,-0.000152,0
-19.713,-25.919,-2.240294,0.000385,0
-19.837,-26.075,-2.240163,0.000924,0
-19.961,-26.232,-2.239925,0.001462,0
-20.085,-26.389,-2.239578,0.002002,0
-20.209,-26.546,-2.239124,0.002539,0
-20.333,-26.703,-2.238562,0.003081,0
-20.456,-26.860,-2.237893,0.003554,0
-20.580,-27.017,-2.237142,0.003467,0
-20.704,-27.175,-2.236503,0.002818,0
-20.827,-27.332,-2.236014,0.002070,0
-20.951,-27.489,-2.235676,0.001314,0
-21.074,-27.647,-2.235488,0.000565,0
-21.197,-27.804,-2.235450,-0.000187,0
-21.321,-27.962,-2.235563,-0.000939,0
-21.444,-28.119,-2.235826,-0.001692,0
-21.568,-28.276,-2.236239,-0.002441,0
-21.691,-28.434,-2.236803,-0.003193,0
-21.815,-28.591,-2.237517,-0.003950,0
-21.938,-28.748,-2.238381,-0.004703,0
-22.062,-28.905,-2.239396,-0.005448,0
-22.186,-29.062,-2.240561,-0.006191,0
-22.311,-29.219,-2.241877,-0.006768,0
-22.435,-29.375,-2.243268,-0.006012,0
-22.560,-29.531,-2.244277,-0.003892,0
-22.685,-29.688,-2.244827,-0.001603,0
-22.809,-29.844,-2.244918,0.000694,0
-22.934,-30.000,-2.244550,0.002983,0
-23.059,-30.157,-2.243723,0.005275,0
-23.184,-30.313,-2.242437,0.007576,0
-23.308,-30.470,-2.240693,0.009862,0
-23.432,-30.627,-2.238491,0.012170,0
-23.555,-30.784,-2.235831,0.014460,0
-23.679,-30.941,-2.232714,0.016736,0
-23.801,-31.099,-2.229142,0.018998,0
-23.923,-31.258,-2.225114,0.021229,0
-24.045,-31.417,-2.220633,0.023405,0
-24.165,-31.576,-2.215761,0.021360,0
-24.285,-31.736,-2.212106,0.013446,0
-24.405,-31.897,-2.210372,0.003868,0
-24.524,-32.057,-2.210558,-0.005722,0
-24.644,-32.218,-2.212662,-0.015297,0
-24.764,-32.378,-2.216689,-0.024965,0
-24.885,-32.537,-2.222643,-0.034708,0
-25.006,-32.695,-2.230531,-0.044311,0
-25.130,-32.853,-2.240361,-0.053914,0
-25.255,-33.009,-2.252137,-0.063717,0
-25.382,-33.164,-2.265866,-0.073564,0
-25.511,-33.316,-2.281544,-0.083263,0
-25.643,-33.467,-2.299165,-0.092863,0
-25.777,-33.615,-2.318709,-0.101923,0
-25.915,-33.760,-2.339916,-0.108970,0
-26.056,-33.902,-2.362328,-0.115052,0
-26.200,-34.041,-2.385966,-0.121410,0
-26.347,-34.176,-2.410859,-0.127851,0
-26.497,-34.308,-2.437029,-0.132581,0
-26.652,-34.435,-2.463917,-0.133965,0
-26.809,-34.558,-2.490592,-0.132987,0
-26.970,-34.677,-2.517065,-0.131753,0
-27.134,-34.792,-2.543360,-0.131044,0
-27.300,-34.903,-2.569482,-0.129035,0
-27.470,-35.009,-2.594978,-0.125313,0
-27.642,-35.111,-2.619646,-0.121504,0
-27.816,-35.208,-2.643480,-0.119197,0
-27.993,-35.302,-2.667280,-0.122033,0
-28.172,-35.391,-2.692332,-0.128416,0
-28.354,-35.475,-2.718692,-0.135099,0
-28.537,-35.555,-2.746395,-0.141977,0
-28.723,-35.629,-2.775469,-0.143666,0
-28.910,-35.698,-2.803790,-0.132885,0
-29.100,-35.762,-2.828598,-0.115056,0
-29.291,-35.822,-2.849892,-0.099449,0
-29.483,-35.877,-2.868370,-0.090715,0
-29.676,-35.930,-2.886166,-0.087671,0
-29.870,-35.978,-2.903438,-0.085022,0
-30.065,-36.024,-2.920192,-0.082526,0
-30.260,-36.066,-2.936434,-0.080410,0
-30.456,-36.105,-2.952301,-0.080251,0
-30.653,-36.141,-2.968543,-0.082446,0
-30.850,-36.174,-2.985280,-0.084907,0
-31.048,-36.204,-3.002506,-0.088104,0
-31.246,-36.230,-3.020518,-0.093416,0
-31.445,-36.252,-3.039864,-0.100141,0
-31.644,-36.270,-3.060577,-0.106952,0
-31.844,-36.284,-3.082677,-0.113800,0
-32.044,-36.294,-3.106181,-0.118716,0
-32.244,-36.298,-3.130198,-0.112852,0
-32.444,-36.298,3.131859,-0.097595,0
-32.644,-36.295,3.113947,-0.082045,0
-32.843,-36.288,3.099111,-0.071745,0
-33.043,-36.278,3.085294,-0.068210,0
-33.243,-36.265,3.071781,-0.066807,0
-33.442,-36.250,3.058572,-0.065394,0
-33.641,-36.232,3.045664,-0.064027,0
-33.840,-36.212,3.032973,-0.069061,0
-34.039,-36.188,3.018009,-0.083418,0
-34.237,-36.162,2.999594,-0.100688,0
-34.435,-36.132,2.977738,-0.116287,0
-34.632,-36.097,2.953039,-0.127023,0
-34.828,-36.057,2.926913,-0.134026,0
-35.023,-36.011,2.899376,-0.141448,0
-35.216,-35.961,2.870373,-0.148916,0
-35.408,-35.904,2.839861,-0.150027,0
-35.598,-35.842,2.810341,-0.132766,0
-35.786,-35.774,2.786784,-0.102552,0
-35.973,-35.703,2.769326,-0.078050,0
-36.159,-35.629,2.755548,-0.078020,0
-36.344,-35.552,2.738074,-0.097956,0
-36.527,-35.472,2.716355,-0.119398,0
-36.708,-35.387,2.690352,-0.136175,0
-36.887,-35.297,2.661842,-0.120963,0
-37.063,-35.203,2.641981,-0.072960,0
-37.238,-35.106,2.632686,-0.020131,0
-37.413,-35.009,2.633925,0.031781,0
-37.588,-34.912,2.645404,0.051024,0
-37.764,-34.818,2.654315,0.020611,0
-37.941,-34.724,2.653647,-0.027351,0
-38.117,-34.630,2.643376,-0.075583,0
-38.292,-34.533,2.623443,-0.121253,0
-38.464,-34.431,2.594868,-0.140179,0
-38.634,-34.325,2.567328,-0.129222,0
-38.800,-34.214,2.543175,-0.112435,0
-38.964,-34.100,2.522419,-0.095287,0
-39.126,-33.982,2.505046,-0.078393,0
-39.286,-33.862,2.491029,-0.061709,0
