x,y,yaw,kappa,mode
-307.692,-250.668,-2.248895,0.000075,0
-307.818,-250.823,-2.248880,0.000068,0
-307.943,-250.979,-2.248868,0.000050,0
-308.069,-251.135,-2.248860,0.000032,0
-308.194,-251.291,-2.248855,0.000015,0
-308.320,-251.446,-2.248854,-0.000003,0
-308.445,-251.602,-2.248856,-0.000020,0
-308.571,-251.758,-2.248862,-0.000037,0
-308.696,-251.914,-2.248871,-0.000053,0
-308.822,-252.069,-2.248883,-0.000070,0
-308.947,-252.225,-2.248899,-0.000090,0
-309.072,-252.381,-2.248919,-0.000107,0
-309.198,-252.537,-2.248942,-0.000123,0
-309.323,-252.692,-2.248968,-0.000130,0
-309.449,-252.848,-2.248994,-0.000120,0
-309.574,-253.004,-2.249016,-0.000102,0
-309.700,-253.160,-2.249035,-0.000085,0
-309.825,-253.315,-2.249050,-0.000065,0
-309.951,-253.471,-2.249061,-0.000045,0
-310.076,-253.627,-2.249068,-0.000027,0
-310.202,-253.783,-2.249072,-0.000013,0
-310.327,-253.938,-2.249073,0.000008,0
-310.453,-254.094,-2.249069,0.000027,0
-310.578,-254.250,-2.249062,0.000045,0
-310.704,-254.405,-2.249051,0.000063,0
-310.829,-254.561,-2.249037,0.000080,0
-310.955,-254.717,-2.249019,0.000100,0
-311.080,-254.873,-2.248997,0.000120,0
-311.206,-255.028,-2.248971,0.000128,0
-311.331,-255.184,-2.248946,0.000117,0
-311.457,-255.340,-2.248924,0.000102,0
-311.582,-255.496,-2.248905,0.000088,0
-311.707,-255.651,-2.248889,0.000073,0
-311.833,-255.807,-2.248876,0.000055,0
-311.958,-255.963,-2.248867,0.000040,0
-312.084,-256.119,-2.248860,0.000028,0
-312.209,-256.274,-2.248856,0.000010,0
-312.335,-256.430,-2.248856,-0.000005,0
-312.460,-256.586,-2.248858,-0.000020,0
-312.586,-256.742,-2.248864,-0.000035,0
-312.711,-256.897,-2.248872,-0.000050,0
-312.836,-257.053,-2.248884,-0.000067,0
-312.962,-257.209,-2.248899,-0.000080,0
-313.087,-257.365,-2.248916,-0.000090,0
-313.213,-257.520,-2.248935,-0.000093,0
-313.338,-257.676,-2.248953,-0.000090,0
-313.464,-257.832,-2.248971,-0.000087,0
-313.589,-257.988,-2.248988,-0.000085,0
-313.715,-258.143,-2.249005,-0.000085,0
-313.840,-258.299,-2.249022,-0.000082,0
-313.966,-258.455,-2.249038,-0.000078,0
-314.091,-258.610,-2.249053,-0.000078,0
-314.217,-258.766,-2.249069,-0.000077,0
-314.342,-258.922,-2.249084,-0.000072,0
-314.468,-259.078,-2.249098,-0.000070,0
-314.593,-259.233,-2.249112,-0.000070,0
-314.719,-259.389,-2.249126,-0.000067,0
-314.844,-259.545,-2.249139,-0.000083,0
-314.970,-259.700,-2.249159,-0.000598,0
-315.095,-259.856,-2.249378,-0.001731,0
-315.221,-260.012,-2.249852,-0.002219,0
-315.346,-260.167,-2.250265,-0.001704,0
-315.472,-260.323,-2.250533,-0.000975,0
-315.598,-260.479,-2.250656,-0.000255,0
-315.723,-260.634,-2.250635,0.000468,0
-315.849,-260.790,-2.250469,0.001194,0
-315.975,-260.945,-2.250157,0.001922,0
-316.100,-261.101,-2.249701,0.002645,0
-316.226,-261.256,-2.249100,0.003370,0
-316.351,-261.412,-2.248354,0.004086,0
-316.477,-261.568,-2.247464,0.004810,0
-316.602,-261.724,-2.246428,0.005543,0
