x,y,yaw,kappa,mode
-163.246,-130.414,2.473519,0.000000,0
-163.404,-130.290,2.473519,0.000000,0
-163.561,-130.165,2.473519,0.000000,0
-163.719,-130.041,2.473519,0.000000,0
-163.877,-129.916,2.473519,0.000000,0
-164.035,-129.792,2.473519,0.000000,0
-164.192,-129.667,2.473519,0.000000,0
-164.350,-129.543,2.473519,0.000000,0
-164.508,-129.418,2.473519,0.000000,0
-164.666,-129.294,2.473519,0.000000,0
-164.823,-129.169,2.473519,0.000000,0
-164.981,-129.045,2.473519,0.000000,0
-165.139,-128.920,2.473519,0.000000,0
-165.297,-128.796,2.473519,0.000000,0
-165.454,-128.671,2.473519,0.000000,0
-165.612,-128.547,2.473519,0.000000,0
-165.770,-128.422,2.473519,0.000000,0
-165.928,-128.298,2.473519,0.000000,0
-166.085,-128.173,2.473519,0.000000,0
-166.243,-128.049,2.473519,0.000000,0
-166.401,-127.925,2.473519,0.000000,0
-166.559,-127.800,2.473519,0.000000,0
-166.716,-127.676,2.473519,0.000000,0
-166.874,-127.551,2.473519,0.000000,0
-167.032,-127.427,2.473519,0.000000,0
-167.190,-127.302,2.473519,0.000000,0
-167.347,-127.178,2.473519,0.000000,0
-167.505,-127.053,2.473519,0.000000,0
-167.663,-126.929,2.473519,0.000000,0
-167.821,-126.804,2.473519,0.000000,0
-167.978,-126.680,2.473519,0.000000,0
-168.136,-126.555,2.473519,0.000000,0
-168.294,-126.431,2.473519,0.000000,0
-168.452,-126.306,2.473519,0.000000,0
-168.609,-126.182,2.473519,0.000000,0
-168.767,-126.057,2.473519,0.000000,0
-168.925,-125.933,2.473519,0.000000,0
-169.083,-125.808,2.473519,0.000000,0
-169.240,-125.684,2.473519,0.000000,0
-169.398,-125.559,2.473519,0.000000,0
-169.556,-125.435,2.473519,0.000000,0
-169.714,-125.310,2.473519,0.000000,0
-169.871,-125.186,2.473519,0.000000,0
-170.029,-125.061,2.473519,0.000000,0
-170.187,-124.937,2.473519,0.000000,0
-170.345,-124.812,2.473519,0.000000,0
-170.502,-124.688,2.473519,0.000000,0
-170.660,-124.563,2.473519,0.000000,0
-170.818,-124.439,2.473519,0.000000,0
