x,y,yaw,kappa,mode
0.000,0.000,-1.928320,-0.155836,0
-0.073,-0.186,-1.959458,-0.151873,0
-0.151,-0.370,-1.989018,-0.143388,0
-0.235,-0.552,-2.016856,-0.134488,0
-0.324,-0.731,-2.042861,-0.125272,0
-0.417,-0.908,-2.066946,-0.115461,0
-0.514,-1.083,-2.089049,-0.105580,0
-0.615,-1.255,-2.109130,-0.095387,0
-0.719,-1.426,-2.127166,-0.085007,0
-0.826,-1.595,-2.143147,-0.074612,0
-0.936,-1.763,-2.157073,-0.064568,0
-1.047,-1.928,-2.168953,-0.054390,0
-1.161,-2.093,-2.178797,-0.044071,0
-1.276,-2.257,-2.186619,-0.034051,0
-1.392,-2.420,-2.192430,-0.024099,0
-1.508,-2.582,-2.196242,-0.014092,0
-1.626,-2.744,-2.198062,-0.004127,0
-1.743,-2.906,-2.197894,0.005812,0
-1.860,-3.068,-2.195739,0.015763,0
-1.977,-3.230,-2.191594,0.025729,0
-2.093,-3.393,-2.185450,0.035707,0
-2.208,-3.557,-2.177298,0.037001,0
-2.321,-3.722,-2.170639,0.018269,0
-2.434,-3.887,-2.169991,-0.011866,0
-2.547,-4.052,-2.175385,-0.036881,0
-2.661,-4.216,-2.184733,-0.045386,0
-2.777,-4.379,-2.193530,-0.042179,0
-2.895,-4.541,-2.201625,-0.038707,0
-3.013,-4.702,-2.209014,-0.035219,0
-3.133,-4.862,-2.215699,-0.031617,0
-3.254,-5.022,-2.221680,-0.028116,0
-3.375,-5.181,-2.226957,-0.024665,0
-3.497,-5.339,-2.231532,-0.021137,0
-3.621,-5.496,-2.235405,-0.017600,0
-3.744,-5.654,-2.238577,-0.014130,0
-3.868,-5.810,-2.241050,-0.010618,0
-3.993,-5.967,-2.242824,-0.007109,0
-4.117,-6.124,-2.243899,-0.003628,0
-4.242,-6.280,-2.244275,-0.000135,0
-4.367,-6.436,-2.243953,0.003148,0
-4.491,-6.593,-2.243016,0.004700,0
-4.616,-6.749,-2.242073,0.004420,0
-4.740,-6.906,-2.241248,0.003831,0
-4.864,-7.063,-2.240540,0.003248,0
-4.988,-7.219,-2.239951,0.002654,0
-5.112,-7.376,-2.239480,0.002059,0
-5.236,-7.533,-2.239127,0.001470,0
-5.360,-7.690,-2.238892,0.000880,0
-5.484,-7.847,-2.238775,0.000287,0
-5.608,-8.004,-2.238777,-0.000305,0
-5.732,-8.161,-2.238897,-0.000895,0
-5.856,-8.318,-2.239135,-0.001485,0
-5.980,-8.475,-2.239491,-0.002077,0
-6.104,-8.632,-2.239966,-0.002669,0
-6.228,-8.789,-2.240559,-0.002702,0
-6.352,-8.946,-2.241047,0.000686,0
